#Benchmark1, Benchmark2, dtlb, itlb, bra_miss, l1_hit, l2_hit, l3_hit, mem_hit, cycles, instructions, dtlb, itlb, bra_miss, l1_hit, l2_hit, l3_hit, mem_hit, cycles, instructions, cpi_smt, cpi_cmp, cpi_ratio
perlbench	soplex	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	1.60399e+09	795572	4.93375e+09	1.65742e+11	5.51339e+09	5.75473e+09	4.73995e+09	7.70265e+11	7.22768e+11	0.848013	0.572796	1.48048
soplex	perlbench	1.60399e+09	795572	4.93375e+09	1.65742e+11	5.51339e+09	5.75473e+09	4.73995e+09	7.70265e+11	7.22768e+11	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	1.50755	1.1908	1.266
perlbench	povray	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	2.21802e+08	1.55545e+06	2.13535e+09	2.91131e+11	1.08343e+10	2.11038e+08	152497	5.01723e+11	9.51051e+11	0.834586	0.522384	1.59765
povray	perlbench	2.21802e+08	1.55545e+06	2.13535e+09	2.91131e+11	1.08343e+10	2.11038e+08	152497	5.01723e+11	9.51051e+11	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	0.825616	0.529977	1.55783
perlbench	calculix	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	1.36238e+08	8.04871e+06	4.31711e+09	1.31668e+12	3.67748e+09	1.18981e+09	4.68826e+08	2.32313e+12	6.17736e+12	0.820161	0.528616	1.55153
calculix	perlbench	1.36238e+08	8.04871e+06	4.31711e+09	1.31668e+12	3.67748e+09	1.18981e+09	4.68826e+08	2.32313e+12	6.17736e+12	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	0.602314	0.376624	1.59924
perlbench	hmmer	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	6.19088e+06	306745	1.1787e+09	1.17776e+12	1.04758e+09	8.99176e+07	2.764e+06	1.35452e+12	2.68448e+12	0.806193	0.533997	1.50973
perlbench	sjeng	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	9.21836e+08	665698	2.14427e+10	5.44294e+11	1.82008e+09	2.33347e+08	9.07706e+08	1.67068e+12	2.24848e+12	0.857337	0.533553	1.60685
perlbench	GemsFDTD	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	6.62545e+09	206362	1.47093e+08	4.56509e+11	5.45732e+09	4.75943e+09	1.11814e+10	1.30585e+12	1.40591e+12	0.83903	0.591551	1.41836
perlbench	libquantum	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	8.295e+08	80973	7.17176e+08	5.18374e+10	2.3496e+09	5.28122e+09	1.64498e+10	1.12011e+12	1.64899e+12	0.923488	0.695822	1.32719
perlbench	h264ref	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	3.72921e+08	1.49608e+06	4.41827e+09	1.39241e+12	1.98566e+10	1.06632e+09	4.55427e+07	1.63999e+12	3.74327e+12	0.840496	0.532771	1.57759
perlbench	tonto	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	8.59071e+07	1.20961e+06	1.57792e+09	6.40535e+11	4.54496e+09	2.07695e+09	2.36128e+08	1.38675e+12	2.51035e+12	0.834595	0.533108	1.56553
perlbench	lbm	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	1.75298e+08	27220	5.05006e+07	2.41065e+11	2.6477e+08	5.87142e+07	2.23889e+09	8.23311e+11	1.24595e+12	0.937461	0.603255	1.554
perlbench	omnetpp	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	4.1815e+09	4.98744e+06	2.19918e+09	1.31564e+11	2.45778e+09	4.95272e+09	7.77693e+09	1.08634e+12	5.64238e+11	0.809545	0.556009	1.45599
perlbench	astar	5.29888e+08	1.87457e+07	5.93754e+09	5.69363e+11	4.77077e+09	1.18315e+09	5.80964e+08	1.06775e+12	2.10836e+12	6.18013e+09	124045	1.7836e+10	3.66576e+11	4.60846e+09	4.01236e+09	2.22059e+09	1.22271e+12	1.19253e+12	0.836439	0.542597	1.54155
